4578	4621	4029060	3321984	1640	2840	15880	-300	103	148
4576	4620	4029060	3321984	1564	2332	16332	-348	86	123
4575	4620	4029060	3321984	2448	2380	15320	-311	66	60
4575	4620	4029060	3321984	1584	1696	16704	-368	106	118
4576	4622	4029060	3321984	1960	2540	15668	-298	69	85
4578	4623	4029060	3321984	2248	1724	16612	-379	97	93
4578	4623	4029060	3321984	1544	2468	16164	-327	82	96
4578	4621	4029060	3321984	2484	1792	16048	-366	97	90
4577	4620	4029060	3321984	1828	2508	16008	-296	80	88
4577	4619	4029060	3321984	2776	1976	15808	-331	88	88
4576	4619	4029060	3321984	1388	2312	16328	-336	86	95
4577	4619	4029060	3321984	2452	2236	15508	-299	72	87
4577	4619	4029060	3321984	1532	2144	16468	-361	101	100
4577	4619	4029060	3321984	2280	2540	15416	-281	58	77
4577	4619	4029060	3321984	1716	1672	16628	-372	102	101
4577	4618	4029060	3321984	2304	2108	15384	-300	62	84
4577	4617	4029060	3321984	2308	1608	16296	-371	98	94
4577	4617	4029060	3321984	2160	2348	15520	-294	63	87
4577	4617	4029060	3321984	2792	1768	16080	-352	97	80
4575	4313	4029060	3321984	2008	4836	15712	137	96	333
4570	3714	4029060	3321984	2188	3736	15712	-120	123	1314
4564	3301	4029060	3321984	1300	4028	17340	-168	22	1554
4561	3091	4029060	3321984	2908	-780	16756	-80	166	823
4562	3085	4029060	3321984	1484	-468	16316	-226	10	-78
4563	3082	4029060	3321984	3312	3212	15416	-365	115	-267
4559	3084	4029060	3321984	1276	1636	16760	-387	74	160
4561	3084	4029060	3321984	3148	1888	15456	-311	83	-9
4563	3082	4029060	3321984	1640	2408	16208	-321	36	0
4560	3082	4029060	3321984	2868	2472	15336	-274	67	109
4561	3081	4029060	3321984	1792	1800	16828	-347	65	54
4564	3074	4029060	3321984	2432	2340	15468	-280	100	121
4561	3073	4029060	3321984	1884	1880	16436	-385	59	82
4561	3073	4029060	3321984	1908	2064	15948	-332	102	108
4562	3073	4029060	3321984	2260	2172	16184	-345	75	50
4561	3073	4029060	3321984	2176	2064	15696	-294	110	109
4560	3074	4029060	3321984	2524	2540	15836	-299	46	72
4564	3073	4029060	3321984	1884	1768	16296	-338	110	99
4560	3073	4029060	3321984	2376	2528	15340	-261	49	62
4560	3073	4029060	3321984	1868	1616	16540	-402	123	115
4562	3072	4029060	3321984	2188	2412	15740	-220	43	56
4561	3072	4029060	3321984	2036	1788	16584	-420	125	101
4560	3074	4029060	3321984	2488	2688	15456	-252	46	45
4564	3072	4029060	3321984	2560	2008	16136	-427	116	97
4561	3072	4029060	3321984	2092	2380	15708	-232	55	62
4560	3073	4029060	3321984	2644	2384	15744	-382	105	73
4562	3072	4029060	3321984	1776	2072	15948	-278	52	52
4561	3073	4029060	3321984	2980	2664	15292	-339	98	79
4561	3073	4029060	3321984	1512	1916	16536	-301	72	55
4563	3073	4029060	3321984	2644	2512	15680	-365	89	63
4560	3073	4029060	3321984	1848	1828	16552	-355	67	64
4561	3073	4029060	3321984	2836	2576	15340	-322	99	83
4562	3073	4029060	3321984	1868	1760	16420	-370	81	77
4560	3074	4029060	3321984	2372	2340	15552	-300	103	84
4560	3074	4029060	3321984	2388	2012	16440	-371	62	65
4563	3074	4029060	3321984	2240	2120	15332	-290	83	88
4560	3074	4029060	3321984	2412	2296	16072	-347	71	60
4561	3082	4029060	3321984	2028	2068	15756	-293	98	85
4562	3083	4029060	3321984	2320	2156	16312	-377	65	60
4561	3141	4029060	3321984	1700	1904	16124	-332	101	112
4569	3709	4029060	3321984	3272	1672	15156	-674	218	105
4573	4476	4029060	3321984	1760	-740	15740	-225	-12	-50
4577	4615	4029060	3321984	2472	-2376	16116	-670	-81	-1196
4577	4615	4029060	3321984	1852	3776	14260	-720	7	-1773
4577	4615	4029060	3321984	2852	19288	15796	323	148	-967
4577	4615	4029060	3321984	1524	4416	15512	-284	118	629
4577	4615	4029060	3321984	2424	1600	16256	-300	102	631
4577	4615	4029060	3321984	1368	1128	16056	-393	56	199
4577	4615	4029060	3321984	2200	1564	15684	-326	71	-76
4577	4617	4029060	3321984	1500	2356	15836	-347	72	-140
4577	4615	4029060	3321984	2752	2720	15616	-334	79	-39
4577	4616	4029060	3321984	1820	2608	15888	-293	55	201
4577	4616	4029060	3321984	3024	1956	15716	-310	96	157
4577	4615	4029060	3321984	2052	2052	15660	-320	61	74
4577	4616	4029060	3321984	2016	1920	16668	-381	105	73
4577	4616	4029060	3321984	2152	2316	15680	-299	72	82
4577	4620	4029060	3321984	1844	1764	16728	-375	96	106
4577	4640	4029060	3321984	2136	2448	15520	-289	64	77
4578	4826	4029060	3321984	1768	1648	16332	-407	130	120
4581	5164	4029060	3321984	2708	1900	14840	-367	51	-181
4584	5696	4029060	3321984	1872	-1796	16176	-631	-60	-767
4586	5948	4029060	3321984	2524	1756	16076	-324	109	-1699
4586	5952	4029060	3321984	1128	8212	16876	-69	125	-793
4586	5950	4029060	3321984	2088	1808	16268	-470	191	680
4586	5954	4029060	3321984	1172	-1072	16004	-249	63	153
4587	5952	4029060	3321984	2524	3072	15780	-279	116	-264
4586	5951	4029060	3321984	1212	2220	16456	-394	76	379
4586	5952	4029060	3321984	2336	1120	15792	-296	92	151
